trip_id,origin,destination,tsp,train_type,departure,arrival,duration,service_id,Adulto ida,Básico,Elige,Elige Confort,Prémium
00437,78400,71801,Renfe,ALVIA,2025-11-30 20:58:00,2025-11-30 22:13:00,0 days 01:15:00,00437_30-11-2025-19.52,,56.15,60.5,68.95,
00437,04104,71801,Renfe,ALVIA,2025-11-30 21:32:00,2025-11-30 22:13:00,0 days 00:41:00,00437_30-11-2025-19.52,,42.9,46.2,52.65,
00533,04040,71801,Renfe,ALVIA,2025-11-02 11:09:00,2025-11-02 13:09:00,0 days 02:00:00,00533_02-11-2025-11.09,,35.6,41.5,47.3,
00533,78400,71801,Renfe,ALVIA,2025-11-02 12:00:00,2025-11-02 13:09:00,0 days 01:09:00,00533_02-11-2025-11.09,,30.25,34.55,40.2,
00533,04104,71801,Renfe,ALVIA,2025-11-02 12:33:00,2025-11-02 13:09:00,0 days 00:36:00,00533_02-11-2025-11.09,,23.1,26.4,30.7,
00533,04040,71801,Renfe,ALVIA,2025-11-03 11:09:00,2025-11-03 13:09:00,0 days 02:00:00,00533_03-11-2025-11.09,,35.6,41.5,47.3,
00533,78400,71801,Renfe,ALVIA,2025-11-03 12:00:00,2025-11-03 13:09:00,0 days 01:09:00,00533_03-11-2025-11.09,,30.25,34.55,40.2,
00533,04104,71801,Renfe,ALVIA,2025-11-03 12:33:00,2025-11-03 13:09:00,0 days 00:36:00,00533_03-11-2025-11.09,,23.1,26.4,30.7,
00533,04040,71801,Renfe,ALVIA,2025-11-04 11:09:00,2025-11-04 13:09:00,0 days 02:00:00,00533_04-11-2025-11.09,,65.25,71.15,78.85,
00533,78400,71801,Renfe,ALVIA,2025-11-04 12:00:00,2025-11-04 13:09:00,0 days 01:09:00,00533_04-11-2025-11.09,,51.85,56.15,63.2,
00533,04104,71801,Renfe,ALVIA,2025-11-04 12:33:00,2025-11-04 13:09:00,0 days 00:36:00,00533_04-11-2025-11.09,,36.3,39.6,43.9,
00533,04040,71801,Renfe,ALVIA,2025-11-05 11:09:00,2025-11-05 13:09:00,0 days 02:00:00,00533_05-11-2025-11.09,,65.25,71.15,78.85,
00533,78400,71801,Renfe,ALVIA,2025-11-05 12:00:00,2025-11-05 13:09:00,0 days 01:09:00,00533_05-11-2025-11.09,,51.85,56.15,63.2,
00533,04104,71801,Renfe,ALVIA,2025-11-05 12:33:00,2025-11-05 13:09:00,0 days 00:36:00,00533_05-11-2025-11.09,,39.6,42.9,48.3,
00533,04040,71801,Renfe,ALVIA,2025-11-06 11:09:00,2025-11-06 13:09:00,0 days 02:00:00,00533_06-11-2025-11.09,,71.15,77.1,86.75,
00533,78400,71801,Renfe,ALVIA,2025-11-06 12:00:00,2025-11-06 13:09:00,0 days 01:09:00,00533_06-11-2025-11.09,,56.15,60.5,68.95,
00533,04104,71801,Renfe,ALVIA,2025-11-06 12:33:00,2025-11-06 13:09:00,0 days 00:36:00,00533_06-11-2025-11.09,,23.1,26.4,30.7,
