trip_id,origin,destination,train_type,departure,arrival,duration,service_id,Basico,Elige,Premium
03113,70600,71801,AVE,2023-06-01 12:26:00,2023-06-01 14:42:00,0 days 02:16:00,03113_01-06-2023-12.26,52.55,61.30,100.55
03143,70600,71801,AVE,2023-06-01 15:26:00,2023-06-01 17:20:00,0 days 01:54:00,03143_01-06-2023-15.26,26.30,35.05,158.80
03153,70600,71801,AVE,2023-06-01 16:26:00,2023-06-01 18:42:00,0 days 02:16:00,03153_01-06-2023-16.26,43.80,52.55,77.25
06309,70600,71801,AVLO,2023-06-01 20:30:00,2023-06-01 22:46:00,0 days 02:16:00,06309_01-06-2023-20.30,35.00,,
03203,70600,71801,AVE,2023-06-01 21:41:00,2023-06-01 23:55:00,0 days 02:14:00,03203_01-06-2023-21.41,21.90,30.65,77.25
03143,70600,79300,AVE,2023-06-01 15:26:00,2023-06-01 18:08:00,0 days 02:42:00,03143_01-06-2023-15.26,,158.80,177.80
06309,70600,79300,AVLO,2023-06-01 20:30:00,2023-06-01 23:34:00,0 days 03:04:00,06309_01-06-2023-20.30,45.00,,
03143,70600,04307,AVE,2023-06-01 15:26:00,2023-06-01 18:25:00,0 days 02:59:00,03143_01-06-2023-15.26,,165.35,184.35
06309,70600,04307,AVLO,2023-06-01 20:30:00,2023-06-01 23:51:00,0 days 03:21:00,06309_01-06-2023-20.30,45.00,,
03073,04040,78400,AVE,2023-06-01 08:52:00,2023-06-01 09:35:00,0 days 00:43:00,03073_01-06-2023-08.52,28.40,33.10,63.05
03093,04040,78400,AVE,2023-06-01 10:46:00,2023-06-01 11:29:00,0 days 00:43:00,03093_01-06-2023-10.46,33.10,37.85,81.90
03113,04040,78400,AVE,2023-06-01 12:52:00,2023-06-01 13:35:00,0 days 00:43:00,03113_01-06-2023-12.52,33.10,37.85,69.35
03943,04040,78400,AVE,2023-06-01 12:57:00,2023-06-01 13:38:00,0 days 00:41:00,03943_01-06-2023-12.57,,,
03123,04040,78400,AVE,2023-06-01 13:46:00,2023-06-01 14:29:00,0 days 00:43:00,03123_01-06-2023-13.46,23.65,28.40,56.75
03153,04040,78400,AVE,2023-06-01 16:52:00,2023-06-01 17:35:00,0 days 00:43:00,03153_01-06-2023-16.52,28.40,31.45,50.45
03173,04040,78400,AVE,2023-06-01 18:52:00,2023-06-01 19:35:00,0 days 00:43:00,03173_01-06-2023-18.52,42.55,47.30,75.60
03941,04040,78400,AVE,2023-06-01 20:00:00,2023-06-01 20:48:00,0 days 00:48:00,03941_01-06-2023-20.00,,,
06309,04040,78400,AVLO,2023-06-01 20:56:00,2023-06-01 21:39:00,0 days 00:43:00,06309_01-06-2023-20.56,25.00,,
03991,04040,78400,AVE,2023-06-01 21:11:00,2023-06-01 21:52:00,0 days 00:41:00,03991_01-06-2023-21.11,23.10,26.00,49.75
03931,04040,78400,AVE,2023-06-01 21:11:00,2023-06-01 21:52:00,0 days 00:41:00,03931_01-06-2023-21.11,14.45,17.35,42.05
03203,04040,78400,AVE,2023-06-01 22:06:00,2023-06-01 22:49:00,0 days 00:43:00,03203_01-06-2023-22.06,14.20,18.90,56.75
03073,04040,71500,AVE,2023-06-01 08:52:00,2023-06-01 10:04:00,0 days 01:12:00,03073_01-06-2023-08.52,36.30,42.35,75.35
03093,04040,71500,AVE,2023-06-01 10:46:00,2023-06-01 11:58:00,0 days 01:12:00,03093_01-06-2023-10.46,42.35,48.40,99.45
03113,04040,71500,AVE,2023-06-01 12:52:00,2023-06-01 14:04:00,0 days 01:12:00,03113_01-06-2023-12.52,42.35,48.40,83.35
03943,04040,71500,AVE,2023-06-01 12:57:00,2023-06-01 14:08:00,0 days 01:11:00,03943_01-06-2023-12.57,,,
19725,04040,71500,AVE,2023-06-01 14:50:00,2023-06-01 15:44:00,0 days 00:54:00,19725_01-06-2023-14.50,42.35,48.40,
03153,04040,71500,AVE,2023-06-01 16:52:00,2023-06-01 18:04:00,0 days 01:12:00,03153_01-06-2023-16.52,36.30,40.25,59.25
03173,04040,71500,AVE,2023-06-01 18:52:00,2023-06-01 20:04:00,0 days 01:12:00,03173_01-06-2023-18.52,54.45,60.50,91.40
03183,04040,71500,AVE,2023-06-01 19:46:00,2023-06-01 20:44:00,0 days 00:58:00,03183_01-06-2023-19.46,48.40,54.45,83.35
03941,04040,71500,AVE,2023-06-01 20:00:00,2023-06-01 21:14:00,0 days 01:14:00,03941_01-06-2023-20.00,,,
