ADIF_ID;RENFE_ID;STATION_NAME;LATITUD;LONGITUD;DIRECION;CP;POBLACION;PROVINCIA;PAIS;CERCANIAS;FEVE;COMUN
60402;60402;CAMPO DE CRIPTANA;39.394343;-3.117746;Avenida Agustin de la Fuente, 49;13610;CAMPO DE CRIPTANA;CIUDAD REAL;ESPAÑA;NO;NO;
60403;60403;ARENALES (APD);39.352971;-3.020942;;;CAMPO DE CRIPTANA;CIUDAD REAL;ESPAÑA;NO;NO;
60404;60404;RIO ZANCARA;39.333426;-2.949472;;;TOMELLOSO;CIUDAD REAL;ESPAÑA;NO;NO;
60405;60405;CORCOLES (APD);;;;;SOCUÉLLAMOS;CIUDAD REAL;ESPAÑA;NO;NO;
60406;60406;SOCUÉLLAMOS;39.278776;-2.775571;Calle Estacion Ferrocarril, S/N;13630;SOCUÉLLAMOS;CIUDAD REAL;ESPAÑA;NO;NO;
60407;60407;GANGUERAS (APD);;;;;VILLARROBLEDO;ALBACETE;ESPAÑA;NO;NO;
60500;60500;VILLARROBLEDO;39.260868;-2.598621;Calle Juan Ferreira, S/N;02600;VILLARROBLEDO;ALBACETE;ESPAÑA;NO;NO;
60503;60503;MINAYA;39.240738;-2.348403;Calle Estacion Ferrocarril, S/N;02620;MINAYA;ALBACETE;ESPAÑA;NO;NO;
60505;60505;LA RODA DE ALBACETE;39.199594;-2.162547;Plaza Estacion Ferracarril, S/N;02630;RODA (LA);ALBACETE;ESPAÑA;NO;NO;
60507;60507;LA GINETA;39.111665;-2.000155;Calle Santa Ana, S/N;02110;GINETA (LA);ALBACETE;ESPAÑA;NO;NO;
60600;60600;ALBACETE-LOS LLANOS;38.999384;-1.84845;Calle Federico Garcia Lorca, 1;02001;ALBACETE;ALBACETE;ESPAÑA;NO;NO;
60601;60601;LA LOSILLA (APT);38.936516;-1.762751;;;CHINCHILLA DE MONTE-ARAGÓN;ALBACETE;ESPAÑA;NO;NO;
60700;60700;CHINCHILLA;38.902867;-1.696235;;;CHINCHILLA DE MONTE-ARAGÓN;ALBACETE;ESPAÑA;NO;NO;
60702;60702;VILLAR DE CHINCHILLA;38.906166;-1.488535;;;CHINCHILLA DE MONTE-ARAGÓN;ALBACETE;ESPAÑA;NO;NO;
60704;60704;BONETE (APD);38.900384;-1.356017;;;BONETE;ALBACETE;ESPAÑA;NO;NO;
60705;60705;ALPERA (APT-CGD);38.938966;-1.252435;;;ALPERA;ALBACETE;ESPAÑA;NO;NO;
60800;60800;ALMANSA;38.867822;-1.105446;Plaza Primero de Mayo, 1;02640;ALMANSA;ALBACETE;ESPAÑA;NO;NO;
60900;60900;LA ENCINA;38.765344;-0.954244;Avenida Constitucion, 1;03408;VILLENA;ALICANTE/ALACANT;ESPAÑA;NO;NO;
60901;60901;CAUDETE;38.716163;-0.959727;Carretera Cv-656 - Estacion Ferrocarril, S/N;02660;CAUDETE;ALICANTE/ALACANT;ESPAÑA;NO;NO;
60902;60902;VILLENA;38.631738;-0.867689;Ronda de la Estacion, S/N;03400;VILLENA;ALICANTE/ALACANT;ESPAÑA;NO;NO;
60903;60903;COLONIA DE STA. EULALIA (APD);38.590858;-0.856302;;;VILLENA;ALICANTE/ALACANT;ESPAÑA;NO;NO;
60904;60904;SAX;38.544251;-0.813729;Luis Barcelo Santoja, 25;03630;SAX;ALICANTE/ALACANT;ESPAÑA;NO;NO;
60905;60905;ELDA-PETRER;38.484879;-0.80109;Calle Galicia, S/N;03600;ELDA;ALICANTE/ALACANT;ESPAÑA;NO;NO;
60906;60906;MONOVAR-PINOSO;38.440473;-0.816938;;;MONÓVAR/MONÒVER;ALICANTE/ALACANT;ESPAÑA;NO;NO;
60907;60907;NOVELDA-ASPE;38.407086;-0.777744;Calle Rafael Altamira, S/N;03660;NOVELDA;ALICANTE/ALACANT;ESPAÑA;NO;NO;
60908;60908;MONFORTE DEL CID (APT);38.406205;-0.696335;;;MONFORTE DEL CID;ALICANTE/ALACANT;ESPAÑA;NO;NO;
60909;60909;AGOST (APT);38.406204;-0.616885;;;AGOST;ALICANTE/ALACANT;ESPAÑA;NO;NO;
60910;60910;SAN VICENTE DEL RASPEIG;38.39756;-0.533883;;;SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG;ALICANTE/ALACANT;ESPAÑA;NO;NO;
60911;60911;ALICANTE/ALACANT;38.34445;-0.4950527;Avenida Salamanca, 1;03005;ALICANTE/ALACANT;ALICANTE/ALACANT;ESPAÑA;SI;NO;
60913;60913;SANT VICENT CENTRE;38.3972495;-0.5326435;Vial del Terraplen, S/N;03690;SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG;;ESPAÑA;SI;NO;
60914;60914;UNIVERSIDAD DE ALICANTE;38.3847998;-0.528108;Carretera de San Vicente del Raspeig - Estacion Ferrocarril, S/N;03690;ALICANTE/ALACANT;MADRID;ESPAÑA;SI;NO;
61001;61001;POZO-CANADA (APT);38.803467;-1.723635;;;POZO CAÑADA;ALBACETE;ESPAÑA;NO;NO;
61002;61002;LOS HITOS (APT);;;;;HELLÍN;ALBACETE;ESPAÑA;NO;NO;
