service_id,trip_id,train_type,departure,arrival,duration
03203_08-02-2023-20.40,03203,AVE,2023-02-08 20:40:00,2023-02-08 23:55:00,3:15
03211_08-02-2023-21.10,03211,AVE,2023-02-08 21:10:00,2023-02-08 23:40:00,2:30
03063_09-02-2023-06.30,03063,AVE,2023-02-09 06:30:00,2023-02-09 09:20:00,2:50
03071_09-02-2023-07.00,03071,AVE,2023-02-09 07:00:00,2023-02-09 09:30:00,2:30
03073_09-02-2023-07.30,03073,AVE,2023-02-09 07:30:00,2023-02-09 10:42:00,3:12
03081_09-02-2023-08.00,03081,AVE,2023-02-09 08:00:00,2023-02-09 10:30:00,2:30
03083_09-02-2023-08.30,03083,AVE,2023-02-09 08:30:00,2023-02-09 11:15:00,2:45
03091_09-02-2023-09.00,03091,AVE,2023-02-09 09:00:00,2023-02-09 11:30:00,2:30
03093_09-02-2023-09.30,03093,AVE,2023-02-09 09:30:00,2023-02-09 12:37:00,3:7
03113_09-02-2023-11.30,03113,AVE,2023-02-09 11:30:00,2023-02-09 14:42:00,3:12
03123_09-02-2023-12.30,03123,AVE,2023-02-09 12:30:00,2023-02-09 15:40:00,3:10
03131_09-02-2023-13.00,03131,AVE,2023-02-09 13:00:00,2023-02-09 15:30:00,2:30
19725_09-02-2023-13.25,19725,AVE,2023-02-09 13:25:00,2023-02-09 16:22:00,2:57
03143_09-02-2023-14.30,03143,AVE,2023-02-09 14:30:00,2023-02-09 17:20:00,2:50
03153_09-02-2023-15.30,03153,AVE,2023-02-09 15:30:00,2023-02-09 18:42:00,3:12
03161_09-02-2023-16.00,03161,AVE,2023-02-09 16:00:00,2023-02-09 18:30:00,2:30
03163_09-02-2023-16.30,03163,AVE,2023-02-09 16:30:00,2023-02-09 19:15:00,2:45
03171_09-02-2023-17.00,03171,AVE,2023-02-09 17:00:00,2023-02-09 19:30:00,2:30
03173_09-02-2023-17.30,03173,AVE,2023-02-09 17:30:00,2023-02-09 20:42:00,3:12
03183_09-02-2023-18.30,03183,AVE,2023-02-09 18:30:00,2023-02-09 21:20:00,2:50
03191_09-02-2023-19.00,03191,AVE,2023-02-09 19:00:00,2023-02-09 21:30:00,2:30
03201_09-02-2023-20.00,03201,AVE,2023-02-09 20:00:00,2023-02-09 22:30:00,2:30
03203_09-02-2023-20.40,03203,AVE,2023-02-09 20:40:00,2023-02-09 23:55:00,3:15
03211_09-02-2023-21.10,03211,AVE,2023-02-09 21:10:00,2023-02-09 23:40:00,2:30
03063_10-02-2023-06.30,03063,AVE,2023-02-10 06:30:00,2023-02-10 09:20:00,2:50
03071_10-02-2023-07.00,03071,AVE,2023-02-10 07:00:00,2023-02-10 09:30:00,2:30
03073_10-02-2023-07.30,03073,AVE,2023-02-10 07:30:00,2023-02-10 10:42:00,3:12
03081_10-02-2023-08.00,03081,AVE,2023-02-10 08:00:00,2023-02-10 10:30:00,2:30
03091_10-02-2023-09.00,03091,AVE,2023-02-10 09:00:00,2023-02-10 11:30:00,2:30
03093_10-02-2023-09.30,03093,AVE,2023-02-10 09:30:00,2023-02-10 12:37:00,3:7
03113_10-02-2023-11.30,03113,AVE,2023-02-10 11:30:00,2023-02-10 14:42:00,3:12
03123_10-02-2023-12.30,03123,AVE,2023-02-10 12:30:00,2023-02-10 15:40:00,3:10
19725_10-02-2023-13.25,19725,AVE,2023-02-10 13:25:00,2023-02-10 16:22:00,2:57
03143_10-02-2023-14.30,03143,AVE,2023-02-10 14:30:00,2023-02-10 17:20:00,2:50
03151_10-02-2023-15.00,03151,AVE,2023-02-10 15:00:00,2023-02-10 17:29:00,2:29
03153_10-02-2023-15.30,03153,AVE,2023-02-10 15:30:00,2023-02-10 18:42:00,3:12
03161_10-02-2023-16.00,03161,AVE,2023-02-10 16:00:00,2023-02-10 18:30:00,2:30
03163_10-02-2023-16.30,03163,AVE,2023-02-10 16:30:00,2023-02-10 19:15:00,2:45
03171_10-02-2023-17.00,03171,AVE,2023-02-10 17:00:00,2023-02-10 19:30:00,2:30
03173_10-02-2023-17.30,03173,AVE,2023-02-10 17:30:00,2023-02-10 20:42:00,3:12
03183_10-02-2023-18.30,03183,AVE,2023-02-10 18:30:00,2023-02-10 21:20:00,2:50
03191_10-02-2023-19.00,03191,AVE,2023-02-10 19:00:00,2023-02-10 21:30:00,2:30
03201_10-02-2023-20.00,03201,AVE,2023-02-10 20:00:00,2023-02-10 22:30:00,2:30
03203_10-02-2023-20.40,03203,AVE,2023-02-10 20:40:00,2023-02-10 23:55:00,3:15
03211_10-02-2023-21.10,03211,AVE,2023-02-10 21:10:00,2023-02-10 23:40:00,2:30
03073_11-02-2023-07.30,03073,AVE,2023-02-11 07:30:00,2023-02-11 10:42:00,3:12
03083_11-02-2023-08.30,03083,AVE,2023-02-11 08:30:00,2023-02-11 11:15:00,2:45
03091_11-02-2023-09.00,03091,AVE,2023-02-11 09:00:00,2023-02-11 11:30:00,2:30
03093_11-02-2023-09.30,03093,AVE,2023-02-11 09:30:00,2023-02-11 12:37:00,3:7
03113_11-02-2023-11.30,03113,AVE,2023-02-11 11:30:00,2023-02-11 14:42:00,3:12
03123_11-02-2023-12.30,03123,AVE,2023-02-11 12:30:00,2023-02-11 15:40:00,3:10
19725_11-02-2023-13.25,19725,AVE,2023-02-11 13:25:00,2023-02-11 16:22:00,2:57
03153_11-02-2023-15.30,03153,AVE,2023-02-11 15:30:00,2023-02-11 18:42:00,3:12
03163_11-02-2023-16.30,03163,AVE,2023-02-11 16:30:00,2023-02-11 19:15:00,2:45
03173_11-02-2023-17.30,03173,AVE,2023-02-11 17:30:00,2023-02-11 20:42:00,3:12
03183_11-02-2023-18.30,03183,AVE,2023-02-11 18:30:00,2023-02-11 21:20:00,2:50
03203_11-02-2023-20.40,03203,AVE,2023-02-11 20:40:00,2023-02-11 23:55:00,3:15
03073_12-02-2023-07.30,03073,AVE,2023-02-12 07:30:00,2023-02-12 10:42:00,3:12
03083_12-02-2023-08.30,03083,AVE,2023-02-12 08:30:00,2023-02-12 11:15:00,2:45
03093_12-02-2023-09.30,03093,AVE,2023-02-12 09:30:00,2023-02-12 12:37:00,3:7
03113_12-02-2023-11.30,03113,AVE,2023-02-12 11:30:00,2023-02-12 14:42:00,3:12
03123_12-02-2023-12.30,03123,AVE,2023-02-12 12:30:00,2023-02-12 15:40:00,3:10
03131_12-02-2023-13.00,03131,AVE,2023-02-12 13:00:00,2023-02-12 15:30:00,2:30
19725_12-02-2023-13.25,19725,AVE,2023-02-12 13:25:00,2023-02-12 16:22:00,2:57
03143_12-02-2023-14.30,03143,AVE,2023-02-12 14:30:00,2023-02-12 17:20:00,2:50
03153_12-02-2023-15.30,03153,AVE,2023-02-12 15:30:00,2023-02-12 18:42:00,3:12
03161_12-02-2023-16.00,03161,AVE,2023-02-12 16:00:00,2023-02-12 18:30:00,2:30
03163_12-02-2023-16.30,03163,AVE,2023-02-12 16:30:00,2023-02-12 19:15:00,2:45
03171_12-02-2023-17.00,03171,AVE,2023-02-12 17:00:00,2023-02-12 19:30:00,2:30
03173_12-02-2023-17.30,03173,AVE,2023-02-12 17:30:00,2023-02-12 20:42:00,3:12
03183_12-02-2023-18.30,03183,AVE,2023-02-12 18:30:00,2023-02-12 21:20:00,2:50
03191_12-02-2023-19.00,03191,AVE,2023-02-12 19:00:00,2023-02-12 21:30:00,2:30
03201_12-02-2023-20.00,03201,AVE,2023-02-12 20:00:00,2023-02-12 22:30:00,2:30
03203_12-02-2023-20.40,03203,AVE,2023-02-12 20:40:00,2023-02-12 23:55:00,3:15
03211_12-02-2023-21.10,03211,AVE,2023-02-12 21:10:00,2023-02-12 23:40:00,2:30
03063_13-02-2023-06.30,03063,AVE,2023-02-13 06:30:00,2023-02-13 09:20:00,2:50
03071_13-02-2023-07.00,03071,AVE,2023-02-13 07:00:00,2023-02-13 09:30:00,2:30
03073_13-02-2023-07.30,03073,AVE,2023-02-13 07:30:00,2023-02-13 10:42:00,3:12
03081_13-02-2023-08.00,03081,AVE,2023-02-13 08:00:00,2023-02-13 10:30:00,2:30
03083_13-02-2023-08.30,03083,AVE,2023-02-13 08:30:00,2023-02-13 11:15:00,2:45
03091_13-02-2023-09.00,03091,AVE,2023-02-13 09:00:00,2023-02-13 11:30:00,2:30
03093_13-02-2023-09.30,03093,AVE,2023-02-13 09:30:00,2023-02-13 12:37:00,3:7
03113_13-02-2023-11.30,03113,AVE,2023-02-13 11:30:00,2023-02-13 14:42:00,3:12
03123_13-02-2023-12.30,03123,AVE,2023-02-13 12:30:00,2023-02-13 15:40:00,3:10
03131_13-02-2023-13.00,03131,AVE,2023-02-13 13:00:00,2023-02-13 15:30:00,2:30
19725_13-02-2023-13.25,19725,AVE,2023-02-13 13:25:00,2023-02-13 16:22:00,2:57
03143_13-02-2023-14.30,03143,AVE,2023-02-13 14:30:00,2023-02-13 17:20:00,2:50
03151_13-02-2023-15.00,03151,AVE,2023-02-13 15:00:00,2023-02-13 17:29:00,2:29
03153_13-02-2023-15.30,03153,AVE,2023-02-13 15:30:00,2023-02-13 18:42:00,3:12
