service_id,0,1,2
03143_16-02-2023-14.30,17.05,39.80,155.10
03151_16-02-2023-15.00,80.50,93.95,126.10
03153_16-02-2023-15.30,90.95,102.35,140.00
03161_16-02-2023-16.00,80.50,93.95,126.10
03163_16-02-2023-16.30,79.60,90.95,140.00
03171_16-02-2023-17.00,93.95,107.35,143.95
03173_16-02-2023-17.30,90.95,102.35,140.00
06307_16-02-2023-18.00,49.00,,
03183_16-02-2023-18.30,90.95,102.35,140.00
03191_16-02-2023-19.00,107.35,120.80,161.80
06309_16-02-2023-19.30,45.00,,
03201_16-02-2023-20.00,53.70,67.10,90.40
03203_16-02-2023-20.40,56.85,68.20,109.75
03211_16-02-2023-21.10,17.05,39.80,109.75
06301_17-02-2023-06.15,15.00,,
03063_17-02-2023-06.30,17.05,39.80,109.75
03071_17-02-2023-07.00,20.15,46.95,126.10
17050_17-02-2023-07.15,43.25,,
03073_17-02-2023-07.30,68.20,79.60,109.75
03081_17-02-2023-08.00,20.15,46.95,161.80
03091_17-02-2023-09.00,67.10,80.30,99.30
03093_17-02-2023-09.30,90.95,102.35,140.00
06303_17-02-2023-10.30,45.00,,
03113_17-02-2023-11.30,28.45,39.80,140.00
03123_17-02-2023-12.30,79.60,90.95,124.85
19725_17-02-2023-13.25,102.35,113.70,140.00
03143_17-02-2023-14.30,102.35,113.70,140.00
03151_17-02-2023-15.00,93.95,107.35,143.95
03153_17-02-2023-15.30,102.35,113.70,140.00
03161_17-02-2023-16.00,107.35,120.80,161.80
03163_17-02-2023-16.30,102.35,113.70,140.00
03171_17-02-2023-17.00,107.35,120.80,161.80
03173_17-02-2023-17.30,102.35,113.70,140.00
06307_17-02-2023-18.00,69.00,,
03183_17-02-2023-18.30,102.35,113.70,140.00
03191_17-02-2023-19.00,40.25,53.70,161.80
06309_17-02-2023-19.30,49.00,,
03201_17-02-2023-20.00,67.10,80.30,99.30
03203_17-02-2023-20.40,102.35,113.70,140.00
03211_17-02-2023-21.10,17.05,39.80,140.00
06301_18-02-2023-06.15,39.00,,
03073_18-02-2023-07.30,28.45,39.80,140.00
03083_18-02-2023-08.30,68.20,79.60,109.75
03091_18-02-2023-09.00,33.55,46.95,161.80
03093_18-02-2023-09.30,90.95,102.35,140.00
06303_18-02-2023-10.30,49.00,,
03113_18-02-2023-11.30,28.45,39.80,140.00
03123_18-02-2023-12.30,79.60,90.95,124.85
19725_18-02-2023-13.25,17.05,39.80,109.75
03153_18-02-2023-15.30,17.05,39.80,
03163_18-02-2023-16.30,79.60,90.95,124.85
03173_18-02-2023-17.30,17.05,39.80,140.00
06307_18-02-2023-18.00,25.00,,
03183_18-02-2023-18.30,90.95,102.35,140.00
06309_18-02-2023-19.30,9.00,,
03203_18-02-2023-20.40,17.05,39.80,140.00
06301_19-02-2023-06.15,9.00,,
03073_19-02-2023-07.30,102.35,113.70,140.00
03083_19-02-2023-08.30,79.60,90.95,124.85
03093_19-02-2023-09.30,102.35,113.70,140.00
06303_19-02-2023-10.30,49.00,,
